C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_27_642.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_27_642.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_27_642.jpg,0,0,0,1.158389E-05
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_27_711.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_27_711.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_27_711.jpg,0,0,0,4.192476E-06
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_27_784.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_27_784.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_27_784.jpg,0,0,0,8.498764E-06
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_27_852.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_27_852.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_27_852.jpg,0,0,0,1.407241E-05
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_27_923.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_27_923.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_27_923.jpg,0,0,0,1.328033E-05
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_27_996.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_27_996.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_27_996.jpg,0,0,0,1.287831E-05
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_067.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_067.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_067.jpg,-0.05,0,0,2.485229E-05
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_142.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_142.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_142.jpg,-0.25,0,0,9.570357E-06
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_214.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_214.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_214.jpg,0,0,0,2.361228E-05
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_286.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_286.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_286.jpg,0,0,0,6.264607E-06
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_354.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_354.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_354.jpg,0,0,0,6.838442E-06
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_426.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_426.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_426.jpg,0,0,0,1.444793E-06
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_499.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_499.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_499.jpg,0,0,0,1.202118E-06
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_571.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_571.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_571.jpg,0,0,0,1.530665E-06
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_641.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_641.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_641.jpg,0,0.1106688,0,0.05324547
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_711.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_711.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_711.jpg,0,0.3484554,0,0.2722953
C:\Users\kc\Desktop\selfDrivcar\IMG\center_2021_09_20_10_16_28_778.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\left_2021_09_20_10_16_28_778.jpg,C:\Users\kc\Desktop\selfDrivcar\IMG\right_2021_09_20_10_16_28_778.jpg,0,0.5291568,0,0.6010981
